Fecha,Local,Visitante,Goles_Local,Goles_Visitante,Competencia
2025-09-07,Deportes Limache,La Serena,2,0,Copa Chile
2025-08-28,Everton CD,La Serena,3,1,Primera División: Liga Chilena
2025-08-24,La Serena,Huachipato,0,2,Primera División: Liga Chilena
2025-08-15,Unión La Calera,La Serena,1,1,Primera División: Liga Chilena
2025-08-09,La Serena,O'Higgins,3,3,Primera División: Liga Chilena
2025-08-02,Unión Española,La Serena,1,0,Primera División: Liga Chilena
2025-07-26,La Serena,Cobresal,0,2,Primera División: Liga Chilena
2025-07-19,Colo Colo,La Serena,2,1,Primera División: Liga Chilena
2025-07-16,Santiago Wanderers,La Serena,1,5,Copa Chile
2025-07-09,La Serena,Santiago Wanderers,4,2,Copa Chile
2025-07-02,La Serena,San Luis,4,1,Copa Chile
2025-06-22,La Serena,Deportes Limache,1,1,Primera División: Liga Chilena
2025-06-14,Palestino,La Serena,2,1,Primera División: Liga Chilena
2025-06-06,San Luis,La Serena,3,1,Copa Chile
2025-05-31,La Serena,Coquimbo Unido,2,4,Primera División: Liga Chilena
2025-05-25,Universidad Católica,La Serena,1,3,Primera División: Liga Chilena
2025-05-19,La Serena,Deportes Iquique,2,1,Primera División: Liga Chilena
2025-05-11,La Serena,Cobresal,1,1,Copa Chile
2025-05-04,Audax Italiano,La Serena,2,1,Primera División: Liga Chilena
2025-04-25,Ñublense,La Serena,2,0,Primera División: Liga Chilena
2025-04-17,Universidad de Chile,La Serena,3,1,Primera División: Liga Chilena
2025-04-13,La Serena,Everton CD,2,1,Primera División: Liga Chilena
2025-04-06,La Serena,Coquimbo Unido,2,0,Copa Chile
2025-03-30,Huachipato,La Serena,3,1,Primera División: Liga Chilena
2025-03-22,San Marcos de Arica,La Serena,1,0,Copa Chile
2025-03-16,La Serena,Unión La Calera,1,0,Primera División: Liga Chilena
2025-03-09,O'Higgins,La Serena,1,1,Primera División: Liga Chilena
2025-03-01,La Serena,Unión Española,1,0,Primera División: Liga Chilena
2025-02-23,Cobresal,La Serena,3,1,Primera División: Liga Chilena
2025-02-16,La Serena,Colo Colo,1,3,Primera División: Liga Chilena
2025-02-09,La Serena,San Marcos de Arica,2,1,Copa Chile
2025-02-02,Coquimbo Unido,La Serena,1,1,Copa Chile
2025-01-27,Cobresal,La Serena,1,2,Copa Chile
