Nombre,Posición,Edad,Nacionalidad,Apariciones,Goles,Asistencias,Amarillas,Roja,Puntos
Eryin Sanhueza1,Portero,29,Chile,11,33,22,2,1,5
Sebastián Díaz6,Portero,21,Argentina,19,0,29,4,0,4
Fabian Cerda12,Portero,36,Chile,11,31,19,3,0,3
José Tapia31,Portero,23,Chile,0,0,0,0,0,0
Martín Castillo,Defensa,21,Chile,--,--,--,0,0,0
Andrés Zanini2,Defensa,28,Argentina,18,1,0,4,1,7
Nicolás Ferreyra3,Defensa,32,Argentina,16,1,0,3,0,3
Jeyson Rojas4,Defensa,23,Chile,19,0,2,1,0,1
Lucas Alarcón5,Defensa,25,Chile,20,0,2,2,0,2
Cristián Gutiérrez16,Defensa,28,Canadá,12,0,0,0,0,0
Juan Eduardo Fuentes17,Defensa,30,Chile,9,0,0,2,1,5
Matías Cortés19,Defensa,22,Chile,--,--,--,0,0,0
Matías Pinto23,Defensa,21,Chile,11,1,1,1,0,1
Fernando Dinamarca26,Defensa,21,Chile,19,0,0,5,0,5
Gonzalo Jara7,Mediocampista,26,Chile,21,3,1,0,0,0
Manuel Rivera8,Mediocampista,29,Chile,15,1,1,1,0,1
Lucas Carreno13,Mediocampista,22,Chile,1,0,0,0,0,0
Felipe Chamorro14,Mediocampista,24,Chile,19,2,2,7,1,10
Martin Villarroel15,Mediocampista,24,Chile,4,0,0,0,0,0
Jorge Ortiz20,Mediocampista,21,Chile,2,0,0,0,0,0
Martin Ramirez21,Mediocampista,21,Chile,4,0,0,1,0,1
Joaquín Fernández22,Mediocampista,22,Uruguay,1,0,0,0,0,0
Fabricio Díaz24,Mediocampista,22,Uruguay,6,0,1,0,0,0
Martin Zepeda28,Mediocampista,18,Chile,--,--,--,0,0,0
Felipe Mardones30,Mediocampista,22,Chile,0,0,0,0,0,0
Daniel Cordero33,Mediocampista,18,Chile,--,--,--,0,0,0
Raúl Palacios34,Mediocampista,19,Chile,--,--,--,0,0,0
Cristóbal Sepúlveda37,Mediocampista,17,Chile,0,0,0,0,0,0
M Rojas38,Mediocampista,--,Chile,--,--,--,0,0,0
Esteban Moreira9,Delantero,23,Chile,14,1,1,0,0,1
Jeisson Vargas10,Delantero,28,Chile,16,6,3,0,0,1
Ángelo Henríquez11,Delantero,31,Chile,14,3,2,0,0,2
Sebastian Gallegos18,Delantero,33,Uruguay,21,4,0,0,0,0
Jhonatan Kauan29,Delantero,21,Brasil,16,1,0,0,0,0
Bryan Mendoza32,Delantero,28,México,3,1,0,0,0,0
Bastián Contreras39,Delantero,19,Chile,--,--,--,0,0,0
Emanuel Herrera40,Delantero,38,Argentina,6,0,0,0,0,0
