Fecha,Local,Visitante,Goles_Local,Goles_Visitante,Competencia
2025-09-25,Universidad de Chile,Alianza Lima,2,1,CONMEBOL Sudamericana
2025-09-18,Alianza Lima,Universidad de Chile,0,0,CONMEBOL Sudamericana
2025-09-14,Colo Colo,Universidad de Chile,0,3,Chilean Supercopa
2025-08-31,Colo Colo,Universidad de Chile,1,0,Primera División: Liga Chilena
2025-08-17,Universidad de Chile,Audax Italiano,1,3,Primera División: Liga Chilena
2025-08-13,Universidad de Chile,Independiente,1,0,CONMEBOL Sudamericana
2025-08-09,Universidad de Chile,Unión Española,4,1,Primera División: Liga Chilena
2025-08-04,Universidad de Chile,Cobresal,0,1,Primera División: Liga Chilena
2025-07-28,Unión La Calera,Universidad de Chile,0,4,Primera División: Liga Chilena
2025-07-24,Guarani,Universidad de Chile,2,1,CONMEBOL Sudamericana
2025-07-20,Ñublense,Universidad de Chile,2,2,Primera División: Liga Chilena
2025-07-17,Universidad de Chile,Guarani,5,0,CONMEBOL Sudamericana
2025-07-12,Universidad de Chile,Colo Colo,2,1,Primera División: Liga Chilena
2025-07-05,Unión Española,Universidad de Chile,0,2,Primera División: Liga Chilena
2025-06-21,Universidad de Chile,Deportes Iquique,3,1,Primera División: Liga Chilena
2025-06-15,Coquimbo Unido,Universidad de Chile,1,0,Primera División: Liga Chilena
2025-06-11,Universidad de Chile,Curicó Unido,2,2,Copa Chile
2025-06-08,Curicó Unido,Universidad de Chile,2,1,Copa Chile
2025-05-31,Universidad de Chile,O'Higgins,6,0,Primera División: Liga Chilena
2025-05-27,Botafogo,Universidad de Chile,1,0,CONMEBOL Libertadores
2025-05-23,Deportes Limache,Universidad de Chile,2,0,Primera División: Liga Chilena
2025-05-18,Universidad de Chile,Huachipato,5,1,Primera División: Liga Chilena
2025-05-13,Universidad de Chile,Carabobo,4,0,CONMEBOL Libertadores
2025-05-09,Universidad de Chile,Deportes Recoleta,1,1,Copa Chile
2025-05-07,Universidad de Chile,Estudiantes de La Plata,0,3,CONMEBOL Libertadores
2025-05-03,Universidad de Chile,Universidad Católica,1,0,Primera División: Liga Chilena
2025-04-27,Palestino,Universidad de Chile,2,3,Primera División: Liga Chilena
2025-04-22,Carabobo,Universidad de Chile,1,1,CONMEBOL Libertadores
2025-04-17,Universidad de Chile,La Serena,3,1,Primera División: Liga Chilena
2025-04-08,Estudiantes de La Plata,Universidad de Chile,1,2,CONMEBOL Libertadores
2025-04-05,Magallanes,Universidad de Chile,1,3,Copa Chile
2025-04-02,Universidad de Chile,Botafogo,1,0,CONMEBOL Libertadores
2025-03-27,Everton CD,Universidad de Chile,2,0,Primera División: Liga Chilena
2025-03-22,Universidad de Chile,Santiago Morning,3,0,Copa Chile
2025-03-14,Audax Italiano,Universidad de Chile,1,1,Primera División: Liga Chilena
2025-03-02,Cobresal,Universidad de Chile,2,1,Primera División: Liga Chilena
2025-02-23,Universidad de Chile,Unión La Calera,1,0,Primera División: Liga Chilena
2025-02-15,Universidad de Chile,Ñublense,5,0,Primera División: Liga Chilena
2025-02-10,Santiago Morning,Universidad de Chile,1,3,Copa Chile
2025-02-02,Universidad de Chile,Magallanes,0,1,Copa Chile
2025-01-29,Deportes Recoleta,Universidad de Chile,1,6,Copa Chile
2025-01-17,Universidad de Chile,River Plate,1,2,Amistoso
